692	FN690-S	M2	59	24	1
693	FN691-S	M2	64	26	1
694	FN692-S	M2	76	16	1
695	FN693-S	M2	13	29	1
696	FN695-S	M2	47	36	1
697	FN696-S	M2	45	6	1
698	FN697-S	M2	29	37	1
699	FN698-S	M2	42	12	1
700	FN700-S	M2	58	31	1
701	FN701-S	M2	73	42	1
702	701-1	M2	36	16	1
703	701-2	M2	21	34	1
704	701-3	M2	45	50	1
705	701-4	M2	24	47	1
706	701-5	M2	18	7	1
707	701-6	M2	27	15	1
708	701-7	M2	28	9	1
709	701-8	M2	20	7	1
710	FN702-S	M2	79	44	1
711	702-1	M2	29	12	1
712	702-2-1	M2	28	16	0
713	702-4	M2	27	13	1
714	702-5-1	M2	28	9	1
715	702-6	M2	26	20	1
716	702-7	M2	31	25	1
717	702-8	M2	12	7	1
718	FN703-S	M2	55	20	1
719	703-1	M2	30	25	0
720	703-2	M2	24	22	1
721	703-3	M2	24	37	1
722	703-4	M2	34	56	1
723	703-5	M2-SOS	14	15	1
724	FN704-S	M2	66	16	1
725	704-1-1	M2	32	10	0
726	704-2	M2	22	8	1
727	704-3	M2	21	7	1
728	704-4-3	M2	36	25	1
729	704-5	M2	22	9	1
730	704-6	M2-SOS	19	7	1
731	FN705-S	M2	46	5	0
732	705-1	M2	36	8	1
733	705-2	M2	38	11	1
734	705-3	M2	33	40	1
735	705-6	M2	49	54	1
736	705-7	M2	43	44	0
737	FN706-S	M2	56	16	1
738	706-1	M2	34	7	1
739	706-2	M2	31	5	1
740	W706-3-1	M2	67	11	1
741	FN707-S	M2	60	28	1
742	707-1	M2	41	31	1
743	707-2	M2	35	13	1
744	707-3	M2	34	28	1
745	707-4	M2	33	28	1
746	707-5	M2	29	31	1
747	707-6	M2	28	25	1
748	707-7	M2	32	17	1
749	FN708-S	M2	60	9	1
750	FN709-S	M2	55	44	1
751	FN710-S	M2	46	15	1
752	FN711-S	M2	62	85	1
753	FN712-S	M2	63	13	1
754	FN713-S	M2	67	12	1
755	FN714-S	M2	74	14	1
756	FN715-S	M2	62	68	1
757	FN718-S	M2	77	26	1
758	FN721-S	M2	65	12	1
759	W721-2-1	M2	54	17	1
760	FN722-S	M2	67	109	1
761	FN723-S	M2	79	224	1
762	FN724-S	M2	72	29	1
763	FN725-S	M2	81	52	1
764	FN726-S	M2	63	20	1
765	FN727-S	M2	62	127	1
766	FN728-S	M2	70	37	1
767	FN729-S	M2	55	24	1
768	FN730-S	M2	63	33	1
769	FN731-S	M2	69	31	1
770	FN732-S	M2	61	26	1
771	FN733-S	M2	67	37	1
772	FN734-S	M2	68	34	1
773	FN735-S	M2	58	14	1
774	FN736-S	M2	54	12	1
775	FN737-S	M2	65	25	1
776	FN738-S	M2	58	324	1
777	FN739-S	M2	71	28	1
778	FN740-S	M2	60	58	1
779	FN742-S	M2	77	36	1
